route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
M23+,MQ_H7-Weekday,MQ_H7-Weekday-012000_SBS23_1,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-014000_SBS23_1,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-016000_SBS23_1,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-018000_SBS23_1,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-020000_SBS23_1,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-022000_SBS23_1,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-024000_SBS23_1,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-026000_SBS23_1,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-028000_SBS23_1,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-030000_SBS23_1,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-036000_SBS23_1,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-040000_SBS23_1,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-044000_SBS23_1,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-048000_SBS23_1,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-051500_SBS23_1,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-054700_SBS23_1,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-031000_SBS23_4,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-034000_SBS23_4,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-038000_SBS23_4,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-042000_SBS23_4,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-046000_SBS23_4,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-050000_SBS23_4,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
M23+,MQ_H7-Weekday,MQ_H7-Weekday-053900_SBS23_4,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230004
M23+,MQ_H7-Weekday,MQ_H7-Weekday-057100_SBS23_4,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230005
